Title,Doi,Provided_by,Url
New review offers evidence-based advice for addressing cannabis use and cannabis use disorder,10.7326/AITC202011030,American College of Physicians,https://medicalxpress.com/news/2020-11-evidence-based-advice-cannabis-disorder.html
New cause of COVID-19 blood clots identified,scitranslmed.abd3876,University of Michigan,https://medicalxpress.com/news/2020-11-covid-blood-clots.html
A.I. tool provides more accurate flu forecasts,10.1145/3340531.3411975,Stevens Institute of Technology,https://medicalxpress.com/news/2020-11-ai-tool-accurate-flu.html
Texas ranks highest in total number of COVID-19 cases in US,,,https://medicalxpress.com/news/2020-11-texas-highest-total-covid-cases.html
"Avoiding inflammatory foods can lower heart disease, stroke risk",10.1016/j.jacc.2020.09.535,American College of Cardiology,https://medicalxpress.com/news/2020-11-inflammatory-foods-heart-disease.html
Scientists identify specific brain region and circuits controlling attention,10.1073/pnas.2015635117,Massachusetts Institute of Technology,https://medicalxpress.com/news/2020-11-scientists-specific-brain-region-circuits.html
Novel technique spotlights neuronal uptake of amyloid beta in Alzheimer's disease,10.1073/pnas.2009238117,University of California - Santa Cruz,https://medicalxpress.com/news/2020-11-technique-spotlights-neuronal-uptake-amyloid.html
Germany shuts down as new virus curbs spur anger and frustration,,,https://medicalxpress.com/news/2020-11-germany-virus-curbs-spur-anger.html
ACA's expansion of Medicaid improved maternal health,,New York University,https://medicalxpress.com/news/2020-11-aca-expansion-medicaid-maternal-health.html
New simulation finds max cost for cost-effective health treatments,10.7326/M20-1392,Pennsylvania State University,https://medicalxpress.com/news/2020-11-simulation-max-cost-effective-health-treatments.html
Addressing excessive alcohol consumption during the COVID-19 pandemic,10.1007/s11606-020-06321-z,McLean Hospital,https://medicalxpress.com/news/2020-11-excessive-alcohol-consumption-covid-pandemic.html
Immunotherapy side effect could be a positive sign for kidney cancer patients,10.1136/jitc-2020-001198,UT Southwestern Medical Center,https://medicalxpress.com/news/2020-11-immunotherapy-side-effect-positive-kidney.html
"Two-thirds of Slovaks tested for virus, 1% positive",,,https://medicalxpress.com/news/2020-11-two-thirds-slovaks-virus-positive.html
Europe may see 'several' waves of COVID-19: experts,,,https://medicalxpress.com/news/2020-11-europe-covid-experts.html
Sleep-deprived mice find cocaine more rewarding,10.1523/ENEURO.0283-20.2020,Society for Neuroscience,https://medicalxpress.com/news/2020-11-sleep-deprived-mice-cocaine-rewarding.html
Mayo Clinic Minute: What to know about this season's flu vaccine,,,https://medicalxpress.com/news/2020-11-mayo-clinic-minute-season-flu.html
Merkel urges Germans to heed curbs for virus 'turnaround',,,https://medicalxpress.com/news/2020-11-merkel-urges-germans-heed-curbs.html
Hospitals competing for nurses as US coronavirus cases surge,,,https://medicalxpress.com/news/2020-11-hospitals-nurses-coronavirus-cases-surge.html
Removing this hidden nasty from our food could save thousands of lives,10.1371/journal.pmed.1003407,George Institute for Global Health,https://medicalxpress.com/news/2020-11-hidden-nasty-food-thousands.html
Vitamin D levels during pregnancy linked with child IQ,10.1093/jn/nxaa309,Seattle Children's Research Institute,https://medicalxpress.com/news/2020-11-vitamin-d-pregnancy-linked-child.html
"Teens who participate in extracurriculars, get less screen time, have better mental health",10.1016/j.ypmed.2020.106291,University of British Columbia,https://medicalxpress.com/news/2020-11-teens-extracurriculars-screen-mental-health.html
The protein dress of a neuron,10.7554/eLife.62953,Max Planck Society,https://medicalxpress.com/news/2020-11-protein-neuron.html
